industry,business_age_years,num_employees,business_type,gst_registered,region,annual_revenue_lakh,gross_margin_pct,operating_cash_flow_lakh,revenue_growth_yoy_pct,revenue_volatility_6m_pct,debt_to_equity_ratio,current_ratio,accounts_receivable_days,months_on_platform,total_invoices_lifetime,avg_invoice_value_lakh,invoice_frequency_monthly,pct_invoices_paid_on_time,avg_payment_delay_days,max_payment_delay_days,dispute_rate_pct,order_value_trend,has_existing_loans,num_active_loans,existing_loan_lakh,prev_bnpl_defaults,credit_bureau_score,months_oldest_credit,num_credit_enquiries_6m,relationship_tenure_months,num_unique_billers,repeat_order_rate_pct,platform_gmv_lakh,last_order_days_ago,support_tickets_open,sector_bnpl_penetration_pct,macro_gdp_growth_pct,default_probability,bnpl_approved,credit_limit_lakh,credit_source
IT Services,7.9,16,Pvt Ltd,1,Tier-1,120.36,38.75,28,21.29,31.67,1.117,1.985,45.1,1,81,9.745,3.86,93.8,0.8,3.3,0.84,declining,1,1,2.83,0,613,0,1,1,7,28.7,789.34,35,0,35,6.54,0.1448,1,45.78,platform
Professional Services,1.8,73,Partnership,1,Metro,731.4,19.75,122.6,-12.68,16.75,2.385,0.993,23.9,11,10,1.748,4.91,83.5,0.6,22,2.49,stable,1,2,9.87,0,700,20,2,11,5,65.3,17.48,33,0,30,5.42,0.2959,1,31.12,platform
Construction,19,8,Pvt Ltd,1,Tier-3,2834.13,28.22,389.85,19.31,12.41,0.972,2.137,63.9,17,12,3.528,5.98,86.5,1.4,3.7,3.84,stable,0,0,0,0,651,63,1,17,2,79.9,42.34,1,0,10,5.79,0.1568,1,118.48,biller
Wholesale Trade,27.2,8,Partnership,1,Tier-2,142.99,35.45,44.96,24.22,6,1.072,0.424,47.5,1,46,2.636,3.87,88.8,3.7,4,3.13,declining,1,4,37.89,0,672,0,1,1,3,68.2,121.26,100,1,18,5.57,0.1794,1,14.83,platform
Professional Services,0.9,7,Pvt Ltd,0,Tier-2,1320.92,10.84,28.04,-32.99,19.65,0.671,1.614,67.8,19,14,2.13,24.82,88.8,1.2,4.8,1.52,stable,1,3,7.2,0,634,55,2,19,1,66.4,29.82,15,0,30,7.48,0.2898,1,55.19,platform
Manufacturing,14.3,8,Sole Prop,1,Tier-2,31.87,8.4,2.26,30.32,29.49,4.133,2.24,56.2,16,10,5.522,2.08,59.9,6.1,28.6,0.87,stable,1,2,11.38,0,640,40,3,16,5,64.7,55.22,24,1,22,7.15,0.4433,0,0,none
Retail (B2B),2.2,5,LLP,1,Metro,159.31,41.45,38.33,31.58,14.33,0.766,2.82,73.3,14,54,0.644,5.04,57.2,15.8,17.3,3.73,growing,0,0,0,1,546,0,1,14,4,67.7,34.78,4,0,28,7.45,0.8646,0,0,none
IT Services,6.3,16,Sole Prop,0,Tier-3,29.53,28.95,2.17,1.84,27.89,1.853,0.778,62.6,46,31,1.446,19.03,84.4,1.5,3.1,2.67,growing,1,1,42.9,0,549,41,0,46,2,97,44.83,2,0,35,7.43,0.3269,1,17.33,biller
Wholesale Trade,2.6,12,Partnership,1,Metro,117.06,6.08,0.36,20.9,13.55,1.551,1.936,64.3,3,422,16.167,2.34,73.5,3.4,7.5,5.04,declining,1,4,15.03,0,671,21,3,3,3,81.1,6822.47,35,0,18,3.91,0.3208,1,289.82,platform
IT Services,17.7,6,Sole Prop,1,Tier-2,493.72,9.32,33.38,47.53,7.45,8,3.785,50.7,51,6,1.285,1.7,85.6,6.7,8.3,5.54,growing,0,0,0,0,678,47,0,51,7,78.3,7.71,12,0,35,4.46,0.1071,1,40.01,biller
Manufacturing,1,48,Pvt Ltd,0,Metro,867.91,19.6,144.16,-5.15,10.14,1.385,5.152,38.6,36,4,24.221,11.08,67.3,18.5,19.5,0.59,growing,1,1,5.38,0,783,75,1,36,5,82.8,96.88,17,1,22,6.53,0.3002,1,48.47,biller
IT Services,3.9,98,Pvt Ltd,1,Metro,60.95,38.72,14.53,31.21,7.55,0.902,1.651,44.3,23,10,2.166,11.53,73.9,16.5,20.9,2.54,stable,1,4,8.95,0,751,44,2,23,1,74,21.66,27,1,35,7.58,0.1446,1,14.76,biller
Retail (B2B),3.3,43,Pvt Ltd,1,Rural,344.22,33.78,87.3,12.9,28.77,0.753,1.024,36.9,36,136,9.364,1.91,80.3,2.3,9.3,2.02,declining,0,0,0,0,752,80,1,36,2,92.1,1273.5,1,0,28,7.11,0.2242,1,83.38,biller
Healthcare Supplies,2.5,22,Pvt Ltd,1,Metro,1014.34,34.8,251.19,-14.8,26.31,2.805,3.508,55.7,47,37,1.83,5.75,77.7,2.7,4.2,0.33,growing,0,0,0,2,670,50,1,47,4,92.2,67.71,35,0,20,5.05,0.6894,0,0,none
Healthcare Supplies,5.7,28,Pvt Ltd,1,Metro,831.16,16.76,85.51,-28.41,18.9,6.809,2.305,14.4,12,39,0.44,11.68,83.3,5.3,24.5,2.19,growing,0,0,0,0,640,24,1,12,3,64.1,17.16,27,0,20,5.76,0.2749,1,35.02,platform
Manufacturing,1.2,93,Partnership,0,Tier-3,260.48,21.91,47.93,22.44,8.71,5.738,4.436,51.9,8,45,6.447,3.49,70.1,6.1,8.5,0.69,growing,1,3,111.89,2,628,104,0,8,4,81.9,290.12,7,0,22,6.68,0.9535,0,0,none
Retail (B2B),6.8,28,Pvt Ltd,1,Tier-2,79.45,12.42,2.28,-18.13,29.78,0.912,4.103,49,6,10,2.015,7.97,75.9,5.7,7.1,0.86,declining,0,0,0,0,545,13,2,6,4,77,20.15,22,0,28,6.83,0.3484,1,6.39,platform
Retail (B2B),20.2,6,LLP,1,Metro,69.11,17.01,7.34,27.36,11.19,2.585,0.722,48.1,4,36,18.559,10.45,90.7,7.4,19.2,1.26,growing,1,3,22.85,0,614,54,1,4,4,69.2,668.12,1,1,28,6.04,0.2688,1,35.65,platform
Manufacturing,8.7,18,LLP,1,Tier-1,55.72,8.53,3.66,-35.69,8.78,0.588,2.097,29.2,10,38,5.77,9.99,77.4,1.7,3.7,2.44,growing,1,4,16.7,0,708,55,2,10,5,85.5,219.26,30,0,22,5.41,0.1133,1,22.82,biller
Healthcare Supplies,10.3,24,Public Ltd,1,Tier-1,173.42,11.54,9.78,10.98,11.67,1.325,1.908,19.2,22,78,1.66,4.34,87.5,12,23.3,1.8,growing,1,4,18.09,0,811,39,1,22,1,89,129.48,8,0,20,6.37,0.0565,1,24.58,biller
Construction,2.7,4,Pvt Ltd,1,Tier-2,57.26,13.29,5.05,1.59,15.4,0.45,2.629,29.8,7,24,7.67,0.74,62.6,3.7,12.5,2.05,growing,1,3,7.59,0,829,92,0,7,1,52.2,184.08,36,0,10,7.27,0.2462,1,15.93,platform
Manufacturing,2.5,8,LLP,1,Tier-1,468.37,20.26,29.01,41.54,19.3,1.399,1.673,43.8,25,11,0.377,0.88,62.8,20.2,24.8,2.77,declining,1,1,406.15,0,852,61,2,25,1,69.4,4.15,7,1,22,7.47,0.2331,1,28.3,platform
Retail (B2B),4.1,40,LLP,1,Tier-1,249.55,27.05,41.78,12.51,25.88,0.601,4.495,43.2,10,15,3.275,5.98,91.5,7,16.1,1.45,growing,1,3,23.75,0,796,52,1,10,5,87.3,49.12,3,0,28,4.88,0.112,1,19.53,biller
Wholesale Trade,0.7,1,LLP,0,Metro,234.21,42,41.29,20.25,20.28,1.279,1.497,41.4,4,54,8.577,6.81,91.6,0.1,37.3,2.87,growing,0,0,0,0,670,22,2,4,6,37,463.16,11,0,18,6.58,0.4563,0,0,none
Logistics & Freight,15,3,Partnership,1,Tier-3,13.78,17.61,1.14,-0.62,15.29,3.9,1.492,44.7,14,4,1.591,13.41,96.3,0.9,6.7,1.93,stable,0,0,0,0,520,98,0,14,4,71.4,6.36,20,0,15,5.71,0.3355,1,6.51,platform
Manufacturing,1.3,10,Sole Prop,0,Tier-2,188.46,29.06,40.69,4.43,11.28,0.684,2.822,27,39,18,1.478,4.16,90.4,4.8,16.2,3.9,stable,0,0,0,0,667,40,3,39,3,37.3,26.6,14,0,22,8.52,0.2509,1,21.92,platform
Professional Services,12.2,17,Pvt Ltd,0,Tier-2,95.32,19.85,3.02,29.05,6.22,0.977,1.556,48.9,3,127,0.294,2.45,91.2,2.8,5.2,2.54,stable,1,2,12.35,0,729,105,1,3,5,77.3,37.34,36,0,30,6.05,0.1317,1,9.88,platform
Healthcare Supplies,0.9,2,Pvt Ltd,0,Tier-1,3763.05,33.55,413.22,8.33,18.8,2.902,1.655,6.9,10,20,15.284,12.38,69.7,16.1,48.5,1.43,declining,1,1,2.54,0,754,17,2,10,6,54.5,305.68,85,0,20,6.7,0.5252,0,0,none
Retail (B2B),9.1,10,Pvt Ltd,1,Tier-1,30.21,6.94,1.64,-10.38,20.3,0.997,0.974,68.3,2,166,2.779,8.17,75.3,18.3,26,0.18,growing,0,0,0,0,748,36,0,2,2,77.6,461.31,0,0,28,6.5,0.2481,1,27.33,platform
Logistics & Freight,1.3,43,LLP,1,Metro,135.97,15.57,11.87,30.81,7.36,0.515,1.104,38.4,21,95,4.183,3.97,84.1,0.6,4.7,4.42,growing,1,4,48.06,3,624,86,1,21,5,66.3,397.38,51,1,15,6.47,0.7755,0,0,none
Professional Services,0.7,13,Pvt Ltd,0,Metro,309.93,29.95,38.65,41.72,4.46,0.968,0.866,74.6,30,44,5.279,1.16,75.5,0.5,7.1,1.67,growing,1,2,49.64,0,522,15,2,30,4,64.4,232.28,13,0,30,4.82,0.4851,0,0,none
Logistics & Freight,6.9,34,Pvt Ltd,1,Tier-1,46.44,28.98,9.59,38.06,22.84,1.378,1.285,41.8,3,27,4.951,6.13,82.5,4.5,9.3,1.46,growing,1,2,125.84,2,546,25,1,3,6,83.3,133.68,7,1,15,6.21,0.8551,0,0,none
Manufacturing,2.1,6,LLP,1,Tier-2,2696.08,29.2,254.41,33.81,10.78,2.213,1.052,53.2,3,99,6.214,14.79,85.4,2.5,2.5,1.1,declining,1,1,14.02,0,594,6,2,3,3,51.1,615.19,19,0,22,6.29,0.439,0,0,none
Retail (B2B),6.8,4,Pvt Ltd,1,Tier-1,2774.72,38.91,340.19,2.34,3.32,0.321,0.947,79.1,1,22,10.236,18.63,71.4,19.5,30.5,0.59,stable,0,0,0,0,652,77,1,1,7,51.1,225.19,1,0,28,6.31,0.3595,1,93.49,platform
FMCG Distribution,4.5,30,LLP,1,Metro,54.5,2,0.6,-11.63,5.53,2.127,1.385,51.3,19,6,5.06,4.32,66.4,10.1,11.4,4.97,growing,0,0,0,2,660,16,1,19,5,57.9,30.36,0,0,25,7.63,0.87,0,0,none
Construction,1.1,18,Sole Prop,1,Tier-3,79.16,6.95,3.11,-15.73,20.16,1.58,2.673,31.1,1,43,0.765,9.28,52.9,26.8,31.3,3.87,growing,1,3,21.42,0,617,22,2,1,4,35.1,32.9,29,0,10,7.91,0.7798,0,0,none
Construction,14,3,Pvt Ltd,0,Metro,3661.17,28.74,435.96,-18.14,30.72,0.251,0.931,64.2,50,30,1.037,3.95,88.2,6.8,9.2,0.86,growing,0,0,0,0,796,5,2,50,3,77.9,31.11,12,0,10,8.77,0.1295,1,183.66,biller
FMCG Distribution,3.5,5,Pvt Ltd,1,Tier-3,1278.42,31.76,216.84,6.13,25.16,1.089,1.975,51.2,4,47,1.505,9.08,73.5,2,5.7,0.68,declining,0,0,0,0,861,43,1,4,4,93,70.74,34,0,25,5.32,0.1501,1,67.24,biller
FMCG Distribution,7.1,68,Partnership,1,Tier-2,108.08,29.86,30.12,43.43,3.78,1.473,2.58,22.2,13,61,1.106,8.69,90.2,4.1,20.7,0.85,stable,0,0,0,0,496,15,1,13,2,56.7,67.47,30,0,25,5.93,0.211,1,13.45,platform
Professional Services,4,4,Public Ltd,1,Tier-3,331.63,54.5,106.81,-25.08,14.04,0.673,0.815,17.1,16,48,6.302,1.08,47.4,1.8,16.1,1.95,growing,1,3,7.97,0,500,0,2,16,4,46.8,302.5,34,0,30,8.39,0.6199,0,0,none
Wholesale Trade,5.1,34,LLP,1,Tier-1,26.01,11.01,0.89,8.34,23.16,0.582,0.932,29.9,3,17,1.747,4.3,55.1,18,45.2,4.16,growing,1,3,8.39,0,610,0,3,3,4,62,29.7,16,0,18,7.46,0.6055,0,0,none
Logistics & Freight,2.3,7,Pvt Ltd,0,Metro,3926.22,26.43,628.94,1.6,1,1.294,4.093,75.5,3,8,6.658,1.46,79.3,1.5,2,0.87,stable,0,0,0,0,640,22,0,3,5,79.7,53.26,3,0,15,7,0.3283,1,150.59,platform
Healthcare Supplies,1.6,12,Partnership,0,Metro,200.74,21.15,2.98,-15.51,31.19,1.322,1.875,48,1,23,0.958,7.02,94.8,0,10.2,1.01,stable,0,0,0,0,462,72,3,1,2,65.2,22.03,56,0,20,8.77,0.4734,0,0,none
Healthcare Supplies,4.4,16,Partnership,1,Tier-2,411.5,29.46,121.23,2.93,3.02,0.245,2.185,43.9,20,5,21.133,4.57,86.9,7.2,9.6,3.31,growing,1,2,12.52,0,549,61,2,20,6,49.6,105.66,8,0,20,6.92,0.1809,1,36.48,platform
Logistics & Freight,3.4,1,Sole Prop,1,Metro,48.96,26.51,3.94,33.79,21.05,0.774,1.284,69.6,2,4,1.24,5.9,84.8,8.2,14.2,2.67,stable,1,4,18.82,0,773,35,0,2,9,74.2,4.96,8,0,15,6.33,0.1967,1,5.71,platform
Manufacturing,3,2,Pvt Ltd,1,Tier-2,36.95,15.79,3.8,12.55,11.49,0.704,1.302,81.4,6,8,1.824,7.87,91.9,3.5,31.5,2.25,stable,1,1,21.6,0,524,30,1,6,3,79.6,14.59,40,1,22,8.23,0.3161,1,5.62,platform
Healthcare Supplies,6.1,13,Pvt Ltd,0,Tier-2,340.88,26.65,58.19,20.54,17.18,0.462,0.592,46,11,16,11.189,6.36,66.2,12.3,20.4,1.37,declining,0,0,0,0,601,29,2,11,1,63.5,179.02,28,0,20,5.45,0.5178,0,0,none
Construction,6.4,5,Sole Prop,0,Tier-3,2651.34,23,246.86,29.38,15.86,2.679,1.295,58.6,21,154,3.428,6.73,66.2,35.4,59.6,6.22,declining,1,4,24.44,0,586,81,2,21,3,68.2,527.91,5,0,10,6.21,0.8376,0,0,none
Wholesale Trade,0.7,36,Partnership,0,Tier-2,85.06,23.54,18.52,15.73,6.25,2.868,2.642,58.9,5,86,1.749,13.07,63.7,12.2,16.2,0.64,declining,1,2,213.38,0,620,58,0,5,4,67.5,150.41,47,0,18,6.04,0.6815,0,0,none
IT Services,2.6,2,Pvt Ltd,1,Tier-1,46.03,35.61,16.39,0.63,20.36,0.421,1.33,67.7,20,18,2.499,4.12,78.6,2.9,10.7,3.28,stable,0,0,0,0,727,0,3,20,1,72.8,44.98,7,0,35,7.43,0.1979,1,14.45,platform
Manufacturing,3.2,22,Sole Prop,1,Tier-2,277.88,51.77,59.41,10.01,12.73,1.17,4.502,43.1,7,40,3.205,6.98,71.9,0.2,1.9,1.88,growing,0,0,0,0,770,35,2,7,4,55.8,128.2,41,1,22,5.13,0.2059,1,24.89,platform
Retail (B2B),1,2,Partnership,0,Rural,1793.76,2,27.9,-13.47,20.83,1.908,1.355,69.6,16,8,1.523,1.79,89.9,32.1,45,3.51,growing,1,2,2.19,0,667,10,1,16,3,78.1,12.18,15,1,28,4.27,0.6847,0,0,none
Wholesale Trade,1.8,8,Partnership,1,Tier-2,74.14,37.47,9.81,9.14,8.5,2.983,0.703,12.7,8,37,1.055,3.43,77.1,6,20.5,3.51,stable,1,3,14.35,0,841,14,1,8,2,83.5,39.03,11,2,18,7.77,0.3197,1,10.12,platform
IT Services,0.8,3,Sole Prop,0,Tier-3,127.76,29.71,35.31,10.44,12.56,2.713,2.405,52.5,31,47,3.357,17.39,95.5,2.7,3.8,4.15,growing,1,3,22.25,0,614,51,2,31,6,69.2,157.78,55,0,35,6.1,0.3448,1,23.19,biller
Logistics & Freight,28.4,98,Partnership,1,Metro,585.21,13.1,70.24,34.34,20.57,1.016,2.951,26.8,6,3,0.344,2.01,67.9,3,4.3,5.22,stable,0,0,0,3,636,15,1,6,5,85.7,1.03,15,1,15,4.94,0.7349,0,0,none
Logistics & Freight,7.2,2,Sole Prop,1,Tier-1,680.06,17.65,102.31,1.52,7.77,1.447,1.105,34.3,18,42,0.236,8.38,78.2,2.1,2.1,0.97,declining,0,0,0,0,720,41,2,18,4,37.6,9.91,50,0,15,6.3,0.2058,1,37.72,platform
Construction,1,10,LLP,0,Rural,121.73,32.58,7.37,1.51,26.71,3.238,2.85,75,13,36,0.801,12.06,86.8,2.2,19.1,2.42,declining,0,0,0,0,840,53,3,13,4,86.7,28.84,11,1,10,7.19,0.4823,0,0,none
FMCG Distribution,0.6,1,Sole Prop,0,Tier-3,841.6,22.61,88.36,-22.31,17.95,0.97,1.287,37.8,24,7,4.963,5.27,66.8,10.9,23.5,0.62,growing,1,1,18.55,0,739,7,2,24,4,80.3,34.74,21,0,25,7.42,0.5071,0,0,none
Manufacturing,6.9,70,Sole Prop,0,Tier-2,380.04,21.41,38.07,20.97,34.83,0.647,3.33,45.2,32,155,2.37,5.9,82.9,17.1,17.7,1.24,stable,1,2,12.56,0,739,48,0,32,3,52,367.35,14,0,22,5.84,0.2034,1,44.14,platform
Manufacturing,3.4,18,Sole Prop,1,Tier-1,185.43,13.76,11.51,-21.39,13.36,3.326,2.774,40.3,36,45,27.943,1.61,95.5,26.8,30.7,5.44,declining,0,0,0,0,655,33,4,36,4,42.2,1257.44,8,0,22,7.72,0.314,1,78.13,platform
FMCG Distribution,8.2,14,Partnership,1,Tier-2,641.26,12.89,77.05,-1.96,17.73,0.585,1.735,47.5,15,14,21.194,10.07,77.9,3.1,23.4,0.97,growing,0,0,0,3,537,49,1,15,3,84.1,296.72,21,0,25,5.34,0.7215,0,0,none
Manufacturing,13.4,61,Pvt Ltd,0,Metro,528.71,10.41,8.1,-6.2,12.74,0.34,2.698,65.9,6,24,0.854,2.79,50.9,0.3,5.5,2.28,stable,1,4,35.42,0,703,5,2,6,5,70.9,20.5,21,1,22,5.86,0.3041,1,21.8,platform
Professional Services,5.1,14,Pvt Ltd,1,Tier-3,41.85,15.88,4.63,25.81,15.06,1.702,2.712,42.7,1,11,0.529,6.74,94.3,3.8,33.9,2.89,stable,0,0,0,0,771,50,0,1,2,55.5,5.82,1,0,30,6.33,0.1276,1,5.98,platform
FMCG Distribution,1.5,15,Sole Prop,1,Tier-1,1446.52,20.46,232.64,17.76,20.56,2.395,6,65.1,4,9,0.644,6.45,89.7,11.3,12.6,1.75,growing,1,1,74.58,0,668,57,0,4,5,75.5,5.8,19,0,25,7.04,0.2657,1,59.92,platform
IT Services,8.1,14,Partnership,0,Rural,293.99,26.25,32.75,22.15,31.18,3.576,1.634,56.5,3,14,12.996,1.27,63.7,0.4,3.1,0.1,stable,0,0,0,1,611,61,0,3,3,78.1,181.94,45,1,35,9.1,0.8921,0,0,none
Professional Services,16.1,22,Partnership,1,Metro,1243.72,12.12,109.47,26.91,29.31,2.296,0.715,20.5,4,195,18.312,4.33,46.2,2.8,4.3,2.16,growing,0,0,0,0,760,33,4,4,7,94,3570.84,22,0,30,6.53,0.3966,1,185.76,biller
Wholesale Trade,4.8,7,Sole Prop,1,Tier-1,194.9,31.07,43.02,-4.79,22.81,2.536,1.149,53.7,39,5,10.122,2.45,63.8,4.8,8.5,2.66,growing,0,0,0,0,729,25,2,39,7,69.4,50.61,63,0,18,8.07,0.3389,1,22.77,biller
Retail (B2B),6.2,9,Pvt Ltd,1,Rural,256.39,11.1,15.14,-9.35,4.33,0.552,2.358,69.7,10,20,2.904,4.81,79.8,1,3.3,2.38,declining,0,0,0,0,735,39,2,10,5,43.6,58.08,20,0,28,6.87,0.1878,1,19.52,platform
Logistics & Freight,2.6,29,Sole Prop,1,Tier-3,316.85,31.23,86.26,-25.68,11.32,1.83,1.264,46,8,9,2.247,11.68,79.7,2,11.7,4.07,growing,0,0,0,0,705,104,3,8,5,83.3,20.22,36,0,15,6.68,0.3714,1,16.3,platform
Retail (B2B),2.9,16,Partnership,1,Tier-1,389.78,11.61,21.01,10.55,20.84,2.138,1.195,50.2,4,19,2.817,6.86,63.5,2.1,8.1,2.84,growing,0,0,0,2,640,49,1,4,4,88.9,53.52,3,0,28,8.41,0.9268,0,0,none
Professional Services,7.1,10,Partnership,1,Tier-3,1539.91,46.21,620.72,-7.65,7.04,0.828,1.621,55.4,10,66,2.549,5.22,69.5,1.8,6.8,2.78,stable,0,0,0,0,716,25,3,10,5,70.2,168.23,5,1,30,6.65,0.185,1,85.79,platform
Wholesale Trade,13.6,2,Pvt Ltd,1,Metro,348.28,29.78,65.65,17.02,14.84,1.358,4.421,67.1,62,35,1.396,7.43,82.7,0.7,9.2,4.87,declining,1,2,18.69,0,851,4,0,62,5,42.7,48.86,7,0,18,6.24,0.0354,1,46.93,biller
Logistics & Freight,5.5,63,Pvt Ltd,1,Tier-1,174.31,32.09,29.2,31.21,16.6,3.428,1.003,74.4,4,32,4.483,2.26,82.8,18.8,28.1,0.85,growing,1,3,16.88,0,664,21,3,4,4,68.3,143.46,2,0,15,7.16,0.4876,0,0,none
Logistics & Freight,8.3,5,Pvt Ltd,1,Tier-1,744.97,19.94,80.82,26.6,33.2,2.729,0.653,64.1,5,19,0.787,8.38,77.7,0.2,2.2,2.5,declining,0,0,0,0,707,52,2,5,6,77.8,14.95,45,0,15,6.75,0.3149,1,29.67,platform
Construction,1.4,36,Partnership,1,Metro,331.16,29.29,24.53,10.42,13.43,3.529,4.133,48.3,21,21,3.888,4.15,64.4,6.4,10.9,1.72,stable,1,2,6.82,0,734,40,2,21,4,79.2,81.65,2,0,10,8.52,0.4483,0,0,none
Manufacturing,1.7,14,Partnership,1,Metro,11358.78,6.97,403.36,9.56,1,0.889,2.253,60.3,37,43,2.586,0.68,74.4,2.6,7.9,0.8,growing,1,3,1.81,0,782,51,1,37,4,90.7,111.2,0,1,22,7.31,0.0953,1,497.75,biller
Retail (B2B),4.3,2,Sole Prop,1,Tier-2,272.59,10.29,8.96,7.82,22.71,4.586,0.681,63.8,11,35,10.703,14.58,84.4,7.7,21.9,2.71,stable,1,1,108.56,2,527,67,0,11,5,78.4,374.6,12,0,28,6.93,0.9412,0,0,none
FMCG Distribution,1.5,48,Partnership,1,Tier-1,1025.29,18.31,125.06,50.5,25.45,0.874,1.336,25,21,65,9.143,3.99,60.3,9.9,10.4,0.46,growing,0,0,0,0,815,0,2,21,5,60.8,594.3,29,1,25,8.25,0.3108,1,73.36,platform
Manufacturing,5.5,16,Sole Prop,0,Metro,623.23,40.21,206.78,-3.65,37.79,0.42,2.198,5,1,34,1.131,2.65,40.3,8.4,11.1,1.41,growing,1,3,11.76,0,645,61,1,1,1,51.6,38.45,42,1,22,5.82,0.6173,0,0,none
FMCG Distribution,2.2,52,Sole Prop,1,Tier-2,10.28,34.08,2.5,9.58,10.6,1.225,1.507,10.5,15,15,1.368,24.94,92.3,16.4,18.8,3.33,stable,0,0,0,0,639,13,0,15,6,72.7,20.52,1,0,25,7.61,0.2031,1,8.76,platform
Logistics & Freight,8.3,9,Pvt Ltd,1,Tier-3,64.62,2,0.55,4.38,1.27,1.249,1.251,40.7,1,100,11.146,5.95,64.5,14.9,21.1,2.73,declining,0,0,0,0,670,40,1,1,6,47.1,1114.6,7,1,15,4.9,0.4128,0,0,none
Healthcare Supplies,8.8,26,Pvt Ltd,1,Tier-3,97.98,10.17,5.32,-7.66,18.53,0.684,1.764,50,65,1,3.761,1.68,76.9,0.5,6.7,2.51,growing,1,3,20.26,0,804,35,1,65,1,53.6,3.76,1,0,20,7.74,0.0472,1,31.89,biller
Construction,3.6,1,Pvt Ltd,1,Rural,22.21,20.96,3.12,0.4,20.24,1.842,4.911,24.5,12,26,6.549,2.45,93.8,2.3,5.4,0.31,stable,1,1,29.85,0,520,79,0,12,3,67.5,170.27,19,0,10,5.75,0.3817,1,13.86,platform
Manufacturing,1.5,7,LLP,1,Metro,104.23,37.08,26.37,8.56,20.78,8,1.475,52.4,3,256,2.12,4.92,81.9,3.8,4.6,0.6,growing,0,0,0,0,735,11,8,3,4,88.7,542.72,67,0,22,6.42,0.5242,0,0,none
Logistics & Freight,5.7,3,LLP,1,Tier-1,26.58,24.93,6.63,-15.7,10.97,2.017,1.225,47.6,28,33,0.376,13.75,91.1,6.3,22.4,0.58,growing,0,0,0,0,606,2,2,28,5,70.1,12.41,39,0,15,5.37,0.2358,1,13.52,biller
FMCG Distribution,25.2,8,Pvt Ltd,0,Tier-3,38.37,2,0.58,40.97,19.28,2.69,1.557,34.2,18,66,7.44,3.9,72.3,53.9,82.6,1.81,growing,1,4,9.28,0,691,73,1,18,3,65.6,491.04,4,0,25,6.92,0.5714,0,0,none
IT Services,5.4,20,Partnership,1,Tier-2,254.22,7.93,12.84,22.52,16.07,2.435,1.2,59.2,6,3,2.399,6.25,86.8,3.8,44.5,4.4,declining,1,1,45.54,0,699,38,2,6,5,94.9,7.2,9,0,35,8.6,0.25,1,13.34,biller
Professional Services,0.7,6,Public Ltd,0,Rural,2662.86,30.64,510.8,29.84,9.37,0.837,0.676,17.1,1,119,8.597,9.91,75.5,1.4,29.1,1.77,stable,1,2,22.21,0,649,0,2,1,4,50.5,1023.04,13,0,30,3.49,0.5901,0,0,none
IT Services,0.6,31,Sole Prop,0,Tier-1,26.92,24.45,3.38,4.77,4.03,0.585,1.588,48,15,187,3.988,3,86.3,6.6,46.3,1.02,growing,0,0,0,0,801,55,2,15,4,90.1,745.76,4,0,35,6.7,0.1625,1,47.38,biller
Manufacturing,2.4,4,Partnership,0,Tier-1,33.06,23.62,4.69,1.74,11.76,1.2,1.55,76.1,15,44,18.376,4.24,96.1,10.4,20.5,2.93,growing,0,0,0,0,715,55,2,15,4,81.7,808.54,20,0,22,5.34,0.2306,1,51.95,biller
Retail (B2B),1.6,32,Pvt Ltd,1,Tier-2,85.98,35.34,23.68,3.72,14.32,1.364,1.146,41,6,27,18.201,5.63,55.6,0.2,7,3.28,growing,1,1,8.24,0,666,27,3,6,2,87.9,491.43,5,0,28,6.84,0.5682,0,0,none
Professional Services,8.9,51,Pvt Ltd,1,Metro,147.52,17.85,11.15,-5.93,21.87,3.82,1.08,60.4,15,10,0.826,2.63,61,3.5,14.1,2.16,growing,1,1,2.17,1,787,50,1,15,4,52.8,8.26,10,0,30,6.74,0.7382,0,0,none
Retail (B2B),9.8,37,Sole Prop,1,Metro,20.93,30.39,4.47,34,14.69,0.737,1.319,59.7,3,26,1.172,2.56,87.1,1.2,1.7,4.57,growing,1,4,83.26,3,404,11,3,3,4,81.2,30.47,0,0,28,5.78,0.8715,0,0,none
FMCG Distribution,2,8,Sole Prop,1,Tier-1,68.12,41.7,16.27,35.93,9.88,1.383,3.557,37.8,37,32,4.301,8.79,84.3,18.9,19,3.45,growing,0,0,0,0,704,0,0,37,4,55.7,137.63,4,1,25,5.57,0.164,1,28.38,platform
FMCG Distribution,2.5,1,Partnership,1,Tier-3,59.86,24.69,14.78,18.99,20.37,1.348,5.441,17.6,7,14,4.636,11.32,95.6,6.9,13.4,1.89,declining,1,1,12.01,3,493,6,3,7,2,57.6,64.9,0,0,25,4.98,0.8612,0,0,none
Retail (B2B),1.8,23,Pvt Ltd,0,Tier-1,283.07,11.27,21.5,41.96,14.27,1.071,2.529,32.9,3,35,0.625,4.21,81.8,3,26.8,1.27,growing,1,1,6.92,0,641,83,2,3,5,83.8,21.88,0,0,28,6.91,0.4197,0,0,none
Wholesale Trade,12.5,10,LLP,1,Metro,328.94,16.88,37.86,55.93,8.05,2.087,1.457,51.2,29,60,6.532,4.1,71,0.2,2.8,7.52,growing,1,2,6.97,0,502,64,0,29,3,78.8,391.92,15,0,18,5.79,0.3161,1,35.55,biller
